City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Half Moon Bay,US,81.75,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
537,Katsuura,JP,87.91,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
539,Elat,IL,85.42,clear sky,29.5581,34.9482,Club Hotel Eilat
540,Maryville,US,80.85,few clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
545,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
546,Hay River,CA,84.18,few clouds,60.8156,-115.7999,Ptarmigan Inn
549,College,US,82.0,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
550,Maumere,ID,82.27,scattered clouds,-8.6199,122.2111,Sylvia Hotel
553,Tabou,CI,75.94,light rain,4.423,-7.3528,hotêl doufoulougou
556,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
558,Waingapu,ID,85.3,clear sky,-9.6567,120.2641,Pondok Wisata Elim
560,Eyl,SO,77.16,overcast clouds,7.9803,49.8164,Amiin Hotel
563,Lucea,JM,84.06,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
570,Hatillo,PR,82.89,few clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
576,Platanos,GR,81.7,clear sky,37.6667,21.6167,Hotel Kronio
579,Palm Coast,US,86.07,scattered clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
581,Luancheng,CN,86.16,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
584,Itarema,BR,78.55,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
588,Adrar,MR,81.16,overcast clouds,20.5022,-10.0711,
597,Kidal,ML,89.74,scattered clouds,18.4411,1.4078,
598,Luganville,VU,77.0,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
601,Exu,BR,75.61,overcast clouds,-7.5119,-39.7242,Pousada Albuquerque
607,Fallon,US,87.67,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
614,Innisfail,AU,88.88,scattered clouds,-17.5333,146.0333,Moondarra Motel
615,Alugan,PH,89.62,overcast clouds,12.2188,125.4808,JM Lodge
616,Riyadh,SA,89.74,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
619,Oussouye,SN,77.09,moderate rain,12.485,-16.5469,Auberge du Routard
622,Samarai,PG,77.92,overcast clouds,-10.6167,150.6667,Nuli Sapi
623,Anton Lizardo,MX,78.22,broken clouds,19.05,-95.9833,Hotel CocoAventura
625,Smithers,CA,89.92,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
628,Kaka,TM,79.79,clear sky,37.3482,59.6143,
629,Santa Barbara,US,75.34,clear sky,34.7333,-120.0343,Upper Ballard Campground
632,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
636,Hobyo,SO,75.45,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
641,Castlegar,CA,81.28,broken clouds,49.2998,-117.6689,Cozy Pines Motel
642,Umm Lajj,SA,84.96,overcast clouds,25.0213,37.2685,Moon light Furnished Units
643,Ciudad Bolivar,VE,79.57,overcast clouds,8.1222,-63.5497,Hotel Edi
648,Gillette,US,77.95,haze,44.2911,-105.5022,National 9 Inn - Gillette WY
650,Manadhoo,MV,82.62,few clouds,5.7667,73.3833,Vevu Guesthouse
