City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Iquique,CL,-20.2208,-70.1431,59.04,76,83,4.9,broken clouds
160,Zhigansk,RU,66.7697,123.3711,77.52,38,12,10.47,few clouds
161,Belaya Gora,RU,68.5333,146.4167,48.67,61,100,21.97,overcast clouds
162,Raudeberg,NO,61.9875,5.1352,52.47,79,87,26.42,overcast clouds
163,Choma,ZM,-16.8065,26.9531,49.26,84,0,6.06,clear sky
164,Mitu,CO,1.1983,-70.1733,72.73,81,100,1.1,overcast clouds
165,Mataura,NZ,-46.1927,168.8643,48.47,98,100,0.49,overcast clouds
166,Kapaa,US,22.0752,-159.319,87.78,68,20,4.0,few clouds
167,Eyl,SO,7.9803,49.8164,77.2,63,100,16.55,overcast clouds
168,Sorland,NO,67.667,12.6934,49.32,73,100,14.32,overcast clouds
169,Aromashevo,RU,56.8602,68.6375,61.16,95,100,7.23,light rain
170,Encantado,BR,-29.2361,-51.8697,53.04,28,100,2.68,overcast clouds
171,Burns Lake,CA,54.2331,-125.7533,81.32,35,0,2.15,clear sky
172,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.2,62,82,10.33,broken clouds
173,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.7,51,67,0.83,broken clouds
174,Polovinnoye,RU,54.7914,65.9864,71.17,79,37,7.02,scattered clouds
175,Bubaque,GW,11.2833,-15.8333,78.51,84,100,20.42,moderate rain
176,Codrington,AU,-38.2667,141.9667,53.24,74,39,13.31,scattered clouds
177,Mogadishu,SO,2.0371,45.3438,75.24,86,94,19.04,light rain
178,Fort Nelson,CA,58.8053,-122.7002,79.61,46,0,2.3,clear sky
179,Vysokogornyy,RU,50.1167,139.15,71.47,67,90,5.23,overcast clouds
180,Fare,PF,-16.7,-151.0167,76.84,65,94,14.43,overcast clouds
181,Kahului,US,20.8947,-156.47,83.46,65,20,26.46,few clouds
182,San Vicente,AR,-26.6167,-54.1333,49.33,63,100,1.45,light rain
183,Fujin,CN,47.26,132.0322,90.05,44,56,13.53,broken clouds
184,Karratha,AU,-20.7377,116.8463,70.38,33,1,4.81,clear sky
185,Newport,GB,51.5877,-2.9984,59.86,89,100,4.34,overcast clouds
186,Morlaix,FR,48.5833,-4.0,57.36,94,40,6.91,scattered clouds
187,Jiwani,PK,25.05,61.7417,81.7,86,100,7.92,overcast clouds
188,Tura,IN,25.5198,90.2201,73.71,99,100,2.86,overcast clouds
189,Bintulu,MY,3.1667,113.0333,86.31,67,39,4.21,scattered clouds
190,Hammerfest,NO,70.6634,23.6821,45.05,93,90,2.3,light rain
191,Beisfjord,NO,68.3751,17.5988,48.25,93,100,4.63,overcast clouds
192,Takoradi,GH,4.8845,-1.7554,75.07,89,85,5.68,overcast clouds
193,Nsanje,MW,-16.92,35.262,59.67,97,16,2.3,few clouds
194,Lerwick,GB,60.1545,-1.1494,51.8,75,85,18.54,overcast clouds
195,Lorengau,PG,-2.0226,147.2712,85.82,66,18,8.28,few clouds
196,Avarua,CK,-21.2078,-159.775,75.25,78,100,17.27,overcast clouds
197,Rawson,AR,-43.3002,-65.1023,45.01,56,0,21.39,clear sky
198,Nanortalik,GL,60.1432,-45.2371,48.83,79,100,15.28,overcast clouds
199,Moba,CN,33.2288,105.0179,77.43,56,0,2.42,clear sky
200,Salinopolis,BR,-0.6136,-47.3561,75.27,89,34,3.42,scattered clouds
201,Kautokeino,NO,69.0125,23.0412,42.94,91,100,11.01,light rain
202,Udupi,IN,13.35,74.75,81.64,82,74,12.08,broken clouds
203,Bereda,ES,43.2686,-7.5406,55.92,98,79,2.21,broken clouds
204,Verkhnyaya Toyma,RU,62.2349,44.9985,54.1,97,75,5.99,broken clouds
205,Mabaruma,GY,8.2,-59.7833,73.69,96,6,2.39,clear sky
206,Batticaloa,LK,7.7102,81.6924,83.77,64,93,7.56,overcast clouds
207,Kambove,CD,-10.8764,26.5969,53.6,65,0,7.36,clear sky
208,Farafangana,MG,-22.8167,47.8333,64.58,77,80,0.54,light rain
209,Kolyvan,RU,55.3053,82.7391,71.22,62,83,3.62,broken clouds
210,Tuatapere,NZ,-46.1333,167.6833,48.81,91,97,1.41,overcast clouds
211,Constitucion,CL,-35.3333,-72.4167,51.21,71,0,6.33,clear sky
212,Ahipara,NZ,-35.1667,173.1667,58.93,65,71,7.61,broken clouds
213,Wainwright,CA,52.839,-110.8572,82.78,29,49,10.29,scattered clouds
214,La Roda,ES,39.2167,-2.15,62.91,69,30,7.14,scattered clouds
215,Muros,ES,42.7762,-9.0603,59.09,91,73,2.84,broken clouds
216,Curanilahue,CL,-37.4667,-73.35,43.41,58,2,3.98,clear sky
217,Formosa,AR,-26.1775,-58.1781,55.38,76,0,2.3,clear sky
218,Riyadh,SA,24.6877,46.7219,87.94,13,46,11.01,scattered clouds
